,Jurisdiction,LAhalfand10,Pop2010,OHU2010,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LOWI_per
0,Mississippi,1,1951759,735055,836101.0,498648.0,246498.0,1064463.0,808634.0,19611.0,938.0,6165.0,51948.0,58855.0,51598.0,127056.0,0.4283833198668483
1,Nevada,0,513082,187861,217782.0,130994.0,60235.0,327664.0,35398.0,30184.0,3027.0,6240.0,110569.0,179904.0,20235.0,31652.0,0.42445846862684716
2,Arkansas,1,1900847,750965,789608.0,465127.0,268048.0,1368963.0,369367.0,27240.0,4921.0,13480.0,116876.0,142552.0,54545.0,100009.0,0.41539797784882215
3,Florida,0,3225435,1239642,1329476.0,661500.0,564828.0,2508728.0,474426.0,45762.0,1621.0,13589.0,181309.0,835730.0,103946.0,227394.0,0.4121850231054106
4,New Mexico,1,1694526,646327,693011.0,432734.0,220226.0,1147476.0,37524.0,24941.0,1567.0,157358.0,325660.0,802015.0,37610.0,109229.0,0.4089704141453126
5,Arizona,0,857778,321996,346581.0,209192.0,117376.0,617568.0,31972.0,19973.0,2419.0,60861.0,124985.0,245099.0,24916.0,43053.0,0.40404510257898896
6,South Carolina,0,1689570,642728,682527.0,396690.0,232671.0,1140213.0,472365.0,10370.0,673.0,8377.0,57572.0,65540.0,41191.0,99809.0,0.4039649141497541
7,Mississippi,0,1015538,380713,409346.0,256907.0,133909.0,690221.0,289751.0,6131.0,249.0,8865.0,20321.0,22626.0,20253.0,55032.0,0.40308289793193364
8,New Mexico,0,364653,145068,146975.0,85938.0,52029.0,260400.0,5026.0,3267.0,243.0,35864.0,59853.0,151388.0,7442.0,21736.0,0.40305441063147707
9,Louisiana,1,3212494,1231612,1286847.0,795257.0,396609.0,1926199.0,1103735.0,58458.0,1495.0,18381.0,104226.0,142384.0,105732.0,196652.0,0.4005756897911716
10,Kentucky,0,1945761,760263,775985.0,461535.0,267070.0,1823424.0,68564.0,8341.0,645.0,4169.0,40618.0,38680.0,49633.0,130898.0,0.3988079728188611
11,Texas,0,5011809,1788621,1950025.0,1332143.0,583488.0,3864639.0,393384.0,90518.0,2936.0,36539.0,623793.0,1677306.0,94764.0,232577.0,0.38908605655163636
12,California,0,10178334,3531358,3955197.0,2412064.0,1110581.0,5548374.0,620686.0,1369720.0,36973.0,112094.0,2490487.0,4271155.0,413376.0,365297.0,0.3885898222636435
13,Texas,1,20133752,7134312,7692093.0,5533681.0,2018398.0,13836913.0,2586214.0,874078.0,18720.0,134433.0,2683394.0,7783615.0,418008.0,935148.0,0.3820496547290341
14,Louisiana,0,1320878,496748,502679.0,322758.0,161248.0,909993.0,348661.0,11674.0,468.0,12198.0,37884.0,50176.0,40166.0,74416.0,0.38056429132743524
15,Idaho,0,417185,151994,158135.0,114232.0,56327.0,367850.0,1601.0,3204.0,377.0,9021.0,35132.0,52375.0,6160.0,17195.0,0.3790524587413258
16,Arkansas,0,1015071,396119,383882.0,246348.0,151933.0,876266.0,80528.0,8862.0,942.0,8768.0,39705.0,43498.0,19074.0,46789.0,0.37818241285584947
17,Tennessee,1,4086809,1614877,1545176.0,974417.0,517577.0,2866615.0,929989.0,77054.0,2918.0,12889.0,197344.0,235330.0,110395.0,247700.0,0.3780886261139192
18,Oklahoma,1,2742459,1075934,1035282.0,679429.0,364059.0,1951584.0,240552.0,55473.0,3588.0,206907.0,284355.0,268593.0,64478.0,142962.0,0.3775013591816687
19,Arizona,1,5534239,2058994,2088679.0,1419822.0,764455.0,4049553.0,227036.0,156722.0,10229.0,235668.0,855031.0,1650050.0,135095.0,255303.0,0.37741033591068257
20,Alabama,1,2767887,1102264,1042096.0,654491.0,372049.0,1678521.0,930263.0,40482.0,1963.0,12556.0,104102.0,119397.0,76587.0,164852.0,0.3764951387105037
21,Georgia,0,2803940,1040381,1054687.0,693329.0,353581.0,2047156.0,580323.0,30715.0,1564.0,9355.0,134827.0,179350.0,61565.0,150975.0,0.37614463932894426
22,North Carolina,0,3601197,1409586,1353969.0,845514.0,512502.0,2727021.0,565731.0,32690.0,1661.0,79417.0,194677.0,239488.0,71275.0,197006.0,0.3759774874854111
