,StateFIPS,CensusTract,State,County,Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,LAhalfand10,lapophalfshare,lalowihalfshare,lakidshalfshare,laseniorshalfshare,lawhitehalfshare,lablackhalfshare,laasianhalfshare,lanhopihalfshare,laaianhalfshare,laomultirhalfshare,lahisphalfshare,lahunvhalfshare,lasnaphalfshare,lapop10share,lalowi10share,lakids10share,laseniors10share,lawhite10share,lablack10share,laasian10share,lanhopi10share,laaian10share,laomultir10share,lahisp10share,lahunv10share,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,TractLOWI_PCT,TractKids_PCT,TractSeniors_PCT,TractWhite_PCT,TractBlack_PCT,TractAsian_PCT,TractNHOPI_PCT,TractAIAN_PCT,TractOMultir_PCT,TractHispanic_PCT,TractHUNV_PCT,TractSNAP_PCT
0,01,01001020801,Alabama,Autauga County,0,3081,1074,8.9,89423.0,0,100.0,18.7,26.45,11.07,87.31,9.02,0.52,0.0,0.88,2.27,1.85,6.91,13.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,815.0,341.0,2690.0,278.0,16.0,0.0,27.0,70.0,57.0,68.0,143.0,17.1,26.45,11.07,87.31,9.02,0.52,0.0,0.88,2.27,1.85,6.33,13.31
1,01,01001020802,Alabama,Autauga County,0,10435,3694,13.7,84833.0,0,99.0,26.67,27.63,10.06,82.85,13.25,0.58,0.07,0.47,1.78,1.52,5.22,8.5,0.71,0.24,0.1,0.14,0.49,0.2,0.0,0.0,0.0,0.02,0.02,0.06,0.06,3103.0,2909.0,1060.0,8744.0,1387.0,61.0,7.0,49.0,187.0,159.0,198.0,352.0,29.74,27.88,10.16,83.79,13.29,0.58,0.07,0.47,1.79,1.52,5.36,9.53
2,01,01001020900,Alabama,Autauga County,0,5675,2067,9.8,77865.0,0,97.79,23.42,26.04,10.86,83.16,11.95,0.34,0.05,0.25,2.04,1.4,3.98,14.41,1.17,0.45,0.18,0.24,1.09,0.07,0.0,0.0,0.0,0.01,0.01,0.14,0.21,1612.0,1511.0,630.0,4835.0,679.0,20.0,3.0,14.0,124.0,96.0,97.0,340.0,28.41,26.63,11.1,85.2,11.96,0.35,0.05,0.25,2.19,1.69,4.69,16.45
3,01,01001021000,Alabama,Autauga County,0,2894,1085,22.7,60900.0,1,100.0,38.67,25.92,11.99,76.81,20.84,0.1,0.0,0.62,1.62,1.35,0.8,14.31,80.8,31.15,20.87,9.4,61.72,16.88,0.1,0.0,0.56,1.54,1.13,0.68,11.55,977.0,750.0,347.0,2223.0,603.0,3.0,0.0,18.0,47.0,39.0,9.0,146.0,33.76,25.92,11.99,76.81,20.84,0.1,0.0,0.62,1.62,1.35,0.83,13.46
4,01,01001021100,Alabama,Autauga County,0,3320,1306,24.1,49833.0,1,100.0,51.75,22.59,14.85,43.4,54.52,0.06,0.0,0.42,1.6,1.17,20.72,17.36,79.52,40.77,17.3,12.27,31.69,46.39,0.03,0.0,0.16,1.25,0.94,16.05,13.96,1463.0,750.0,493.0,1441.0,1810.0,2.0,0.0,14.0,53.0,39.0,269.0,230.0,44.07,22.59,14.85,43.4,54.52,0.06,0.0,0.42,1.6,1.17,20.6,17.61
5,01,01003010100,Alabama,Baldwin County,0,3804,1510,10.2,56464.0,1,100.0,35.56,24.11,15.9,75.32,21.71,0.16,0.0,1.68,1.13,0.42,5.62,8.09,39.21,16.06,9.03,6.79,28.06,9.99,0.06,0.0,0.65,0.45,0.23,1.82,3.28,1496.0,917.0,605.0,2865.0,826.0,6.0,0.0,64.0,43.0,16.0,84.0,126.0,39.33,24.11,15.9,75.32,21.71,0.16,0.0,1.68,1.13,0.42,5.56,8.34
6,01,01003010200,Alabama,Baldwin County,0,2902,1111,20.2,44954.0,0,100.0,53.61,26.02,13.03,85.08,9.68,0.38,0.0,2.52,2.34,1.59,8.9,12.81,1.04,0.51,0.2,0.22,1.02,0.0,0.0,0.0,0.02,0.01,0.0,0.15,0.14,1715.0,755.0,378.0,2469.0,281.0,11.0,0.0,73.0,68.0,46.0,91.0,146.0,59.1,26.02,13.03,85.08,9.68,0.38,0.0,2.52,2.34,1.59,8.19,13.14
7,01,01003010400,Alabama,Baldwin County,0,4736,1740,12.3,58359.0,0,100.0,28.44,24.96,12.88,91.62,5.32,0.23,0.0,0.74,2.09,1.5,1.0,6.87,7.62,1.54,1.82,1.07,7.42,0.03,0.0,0.0,0.14,0.03,0.01,0.15,0.54,1347.0,1182.0,610.0,4339.0,252.0,11.0,0.0,35.0,99.0,71.0,19.0,120.0,28.44,24.96,12.88,91.62,5.32,0.23,0.0,0.74,2.09,1.5,1.09,6.9
8,01,01003010904,Alabama,Baldwin County,0,6831,2564,17.0,65515.0,0,97.36,29.73,23.05,13.58,90.64,1.95,0.33,0.06,1.44,2.94,2.72,1.27,9.43,5.79,2.06,1.07,1.08,5.49,0.03,0.02,0.0,0.05,0.2,0.11,0.0,0.61,1843.0,1616.0,954.0,6361.0,141.0,23.0,4.0,100.0,202.0,187.0,30.0,224.0,26.98,23.66,13.97,93.12,2.06,0.34,0.06,1.46,2.96,2.74,1.17,8.74
9,01,01003011300,Alabama,Baldwin County,0,4487,1842,4.3,95863.0,0,100.0,19.9,21.35,20.35,93.45,4.06,0.18,0.0,0.25,2.07,2.45,4.87,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,958.0,913.0,4193.0,182.0,8.0,0.0,11.0,93.0,110.0,99.0,68.0,22.35,21.35,20.35,93.45,4.06,0.18,0.0,0.25,2.07,2.45,5.37,3.69
